Dados;Densidade de Fluxo (Jy);G1;G2;G3;G4;G5;Ajuste;Erro
-8,50066E+12;-0.203077216810719;0.0694923707202954;1,24E-107;0;0;3,42E+04;0.0694923710620627;0.272569587872782
-8,49163E+12;0.104610092833951;0.0701181439271934;2,61E-107;0;0;3,56E+04;0.070118144283111;-0.03449194855084
-8,48261E+12;-0.084031531531533;0.0707484508964832;5,51E-107;0;0;3,71E+04;0.0707484512671225;0.154779982798656
-8,47358E+12;-0.303329501074682;0.0713833126723637;1,16E-106;0;0;3,86E+04;0.0713833130583186;0.374712814133001
-8,46455E+12;-0.107986353866558;0.0720227502744566;2,44E-106;0;0;4,02E+04;0.0720227506763442;0.180009104542902
-8,45552E+12;0.130354762884707;0.0726667846961307;5,14E-106;0;0;4,18E+04;0.0726667851145924;-0.0576879777701146
-8,44649E+12;0.233333443087751;0.0733154369032396;1,08E-105;0;0;4,36E+04;0.0733154373389419;-0.160018005748809
-8,43746E+12;-0.0373914300086895;0.073968727832135;2,27E-105;0;0;4,54E+04;0.0739687282857704;0.11136015829446
-8,42843E+12;-0.162597521379251;0.0746266783883069;4,75E-105;0;0;4,72E+04;0.074626678860595;0.237224200239846
-8,4194E+12;0.0859207527324273;0.0752893094450229;9,95E-105;0;0;4,92E+04;0.0752893099367116;-0.0106314427957157
-8,41038E+11;-0.344641683815798;0.0759566418412966;2,08E-105;0;0;5,12E+04;0.0759566423531626;0.420598326168961
-8,40135E+12;-0.66059143000869;0.0766286963804979;4,35E-105;0;0;5,33E+04;0.0766286969133485;0.737220126922039
-8,39232E+12;-0.0472147802624967;0.0773054938289631;9,09E-106;0;0;5,55E+04;0.0773054943836368;0.124520274646134
-8,38329E+12;-0.517320364018843;0.0779870549139186;1,90E-103;0;0;5,77E+04;0.0779870554912868;0.59530741951013
-8,37426E+11;-0.0681934604655439;0.0786734003220629;3,95E-103;0;0;6,01E+04;0.0786734009230304;0.146866861388574
-8,36523E+12;0.243177605524302;0.0793645506981457;8,23E-103;0;0;6,26E+04;0.0793645513236527;-0.163813054200649
-8,3562E+12;0.10596288471212;0.0800605266428498;1,71E-102;0;0;6,51E+04;0.080060527293873;-0.025902357418247
-8,34717E+12;-0.172545744729504;0.0807613487114211;3,56E-102;0;0;6,78E+04;0.0807613493889746;0.253307094118479
-8,33815E+12;-0.598009196506155;0.0814670374118296;7,38E-102;0;0;7,05E+04;0.0814670381169672;0.679476234623122
-8,32912E+12;-0.25941579549092;0.0821776132033877;1,53E-102;0;0;7,34E+04;0.0821776139372036;0.341593409428124
-8,32009E+12;-0.754724932546761;0.082893096494574;3,17E-101;0;0;7,64E+04;0.0828930972582047;0.837618029804966
-8,31106E+12;-0.149860465541686;0.0836135076415476;6,56E-101;0;0;7,95E+04;0.0836135084361733;0.233473973977859
-8,30203E+12;-0.679905135592449;0.0843388669466621;1,36E-100;0;0;8,27E+04;0.0843388677735086;0.764244003365958
-8,293E+12;-0.434050820871637;0.0850691946562473;2,80E-100;0;0;8,60E+04;0.0850691955165874;0.519120016388224
-8,28397E+12;-0.30740868889194;0.0858045109590957;5,78E-100;0;0;8,95E+04;0.0858045118542513;0.393213200746191
-8,27495E+11;-0.543293968079759;0.0865448359849497;1,19E-99;0;0;9,31E+04;0.086544836916293;0.629838804996052
-8,26592E+12;-0.0496706178259494;0.0872901898022402;2,45E-99;0;0;9,69E+03;0.0872901907711964;0.136960808597146
-8,25689E+12;0.0758060319202407;0.0880405924165479;5,05E-99;0;0;1,01E+05;0.0880405934245965;0.0122345615043558
-8,24786E+12;0.0629441029862328;0.0887960637690624;1,04E-98;0;0;1,05E+05;0.0887960648177395;0.0258519618315067
-8,23883E+12;-0.239914780262495;0.0895566237342807;2,13E-98;0;0;1,09E+05;0.0895566248251813;0.329471405087676
-8,2298E+12;-0.100410719348794;0.0903222921185267;4,37E-99;0;0;1,13E+05;0.0903222932533064;0.1907330126021
-8,22077E+12;0.0532040014633886;0.0910930886579591;8,95E-98;0;0;1,18E+05;0.0910930898383366;0.037889088374948
-8,21174E+12;0.38174511821466;0.0918690330170806;1,83E-97;0;0;1,23E+05;0.0918690342448401;-0.28987608396982
-8,20272E+12;0.841881666438013;0.0926501447863824;3,74E-98;0;0;1,28E+05;0.092650146063376;-0.749231520374637
-8,19369E+12;0.264988773036993;0.093436443480744;7,65E-97;0;0;1,33E+05;0.093436444808894;-0.171552328228099
-8,18466E+12;0.485743595372021;0.0942279485378348;1,56E-96;0;0;1,38E+05;0.0942279499191365;-0.391515645452885
-8,17563E+11;0.321618722275574;0.095024679315718;3,18E-96;0;0;1,44E+05;0.0950246807522424;-0.226594041523332
-8,1666E+12;0.309589280651206;0.095826655091227;6,48E-96;0;0;1,49E+05;0.0958266565851233;-0.213762624066083
-8,15757E+12;0.571510600448161;0.0966338950583427;1,32E-95;0;0;1,55E+05;0.0966338966118415;-0.47487670383632
-8,14854E+12;0.810642580143593;0.0974464183257583;2,68E-95;0;0;1,62E+05;0.0974464199411743;-0.713196160202419
-8,13951E+11;0.633614153747651;0.0982642439152329;5,44E-96;0;0;1,68E+05;0.0982642455949682;-0.535349908152683
-8,13049E+12;0.511092833950702;0.0990873907599444;1,10E-94;0;0;1,75E+05;0.0990873925064917;-0.41200544144421
-8,12146E+12;0.199929889788265;0.0999158777020183;2,24E-95;0;0;1,82E+05;0.099915879517964;-0.100014010270301
-8,11243E+12;-0.0738335619883834;0.100749723490857;4,53E-94;0;0;1,89E+04;0.100749725378884;0.174583287367268
-8,1034E+12;-0.480461988384327;0.101588946781471;9,16E-94;0;0;1,96E+05;0.101588948744365;0.582050937128692
-8,09437E+12;-0.360021886861482;0.102433566131972;1,85E-93;0;0;2,04E+05;0.102433568172622;0.462455455034104
-8,08534E+12;-0.665690414780261;0.103283600001973;3,73E-93;0;0;2,12E+05;0.103283602123376;0.768974016903637
-8,07631E+12;-0.182410719348795;0.104139066750429;7,53E-93;0;0;2,21E+05;0.104139068955693;0.286549788304488
-8,06729E+12;-0.245409196506152;0.104999984634032;1,52E-92;0;0;2,29E+05;0.104999986926383;0.350409183432535
-8,05826E+12;0.00881161567658495;0.105866371804657;3,05E-92;0;0;2,38E+05;0.105866374187441;0.0970547585108565
-8,04923E+12;0.18704714867151;0.106738246307639;6,13E-92;0;0;2,48E+05;0.106738248784327;-0.0803088998871831
-8,0402E+11;0.21724562582887;0.10761562608006;1,23E-91;0;0;2,57E+05;0.107615628654252;-0.109629997174618
-8,03117E+12;-0.0537914300086904;0.108498528948155;2,47E-91;0;0;2,68E+05;0.108498531623585;0.162289961632275
-8,02214E+12;0.261305016691818;0.109386972625577;4,95E-91;0;0;2,78E+05;0.109386975406117;-0.151918041285701
-8,01311E+12;0.177723290803492;0.110280974711659;9,91E-91;0;0;2,89E+05;0.110280977601327;-0.0674423132021655
-8,00408E+12;0.0398217679608521;0.111180552688791;1,98E-90;0;0;3,00E+05;0.111180555691751;0.0713587877308988
-7,99506E+12;-0.311675186353867;0.112085723920662;3,96E-90;0;0;3,12E+05;0.112085727041233;0.4237609133951
-7,98603E+12;-0.44955589701377;0.112996505650509;7,91E-90;0;0;3,24E+05;0.112996508893172;0.562552405906942
-7,977E+12;-0.361978232039149;0.11391291499846;1,58E-89;0;0;3,37E+05;0.113912918367859;0.475891150407008
-7,96797E+12;-0.16823762290209;0.114834968959859;3,14E-89;0;0;3,50E+05;0.114834972460811;0.283072595362901
-7,95894E+12;-0.328866049298032;0.115762684402994;6,25E-89;0;0;3,64E+05;0.115762688040493;0.444628737338525
-7,94991E+12;-0.154876201582294;0.116696078067421;1,24E-88;0;0;3,78E+05;0.116696081846645;0.271572283428939
-7,94088E+11;-0.263390922394482;0.117635166561265;2,47E-88;0;0;3,93E+05;0.117635170487582;0.381026092882064
-7,93185E+12;-0.0466320391457487;0.118579966359422;4,90E-88;0;0;4,08E+05;0.118579970438398;0.165212009584146
-7,92283E+12;0.4473659303974;0.119530493801781;9,71E-88;0;0;4,24E+05;0.119530498039185;-0.327835432358215
-7,9138E+12;-0.208072140668587;0.120486765090484;1,92E-87;0;0;4,40E+05;0.120486769492298;0.328558910160885
-79047685657;-0.310697013765033;0.121448796288123;3,80E-87;0;0;4,57E+05;0.121448800860547;0.43214581462558
-7,89574E+12;-0.481585846252344;0.122416603315944;7,51E-87;0;0;4,75E+05;0.122416608065403;0.604002454317747
-7,88671E+12;-0.0529381305163064;0.123390201951077;1,48E-86;0;0;4,93E+05;0.123390206884235;0.176328337400541
-7,87768E+12;-0.298064018841178;0.124369607824726;2,93E-87;0;0;5,12E+05;0.124369612948486;0.422433631789664
-7,86865E+12;-0.00852493254675935;0.125354836420355;5,76E-86;0;0;5,32E+05;0.125354841741874;0.133879774288634
-7,85963E+12;-0.790022394475695;0.126345903070898;1,13E-85;0;0;5,53E+04;0.126345908597593;0.916368303073288
-7,8506E+12;0.330900955778112;0.127342822957042;2,23E-85;0;0;5,74E+05;0.127342828696598;-0.203558127081514
-7,84157E+12;0.346114661361867;0.128345611104851;4,38E-85;0;0;5,96E+05;0.128345617065234;-0.217769044296633
-7,83254E+12;0.413691818722274;0.129354282384059;8,60E-85;0;0;6,19E+05;0.129354288573523;-0.284337530148751
-7,82351E+12;-0.275149805643206;0.130368851505235;1,69E-84;0;0;6,43E+04;0.130368857932333;0.405518663575539
-7,81448E+12;-0.141847775186353;0.131389333017948;3,30E-84;0;0;6,67E+05;0.131389339691543;0.273237114877896
-7,80545E+11;-0.407494475693973;0.132415741308937;6,46E-84;0;0;6,93E+05;0.132415748238211;0.539910223932184
-7,79642E+12;-0.0441970137650358;0.133448090599254;1,26E-83;0;0;7,19E+04;0.133448097793722;0.177645111558757
-7,7874E+12;-0.141452343714278;0.134486394942423;2,47E-83;0;0;7,47E+05;0.134486402411941;0.275938746126218
-7,77837E+12;0.0773253212603429;0.135530668222599;4,81E-85;0;0;7,75E+04;0.135530675977379;0.0582053547170365
-7,76934E+12;0.0968263364887712;0.136580924151695;9,37E-83;0;0;8,05E+05;0.136580932202317;0.0397545957135462
-7,76031E+12;0.323283696894862;0.137637176267528;1,82E-82;0;0;8,36E+05;0.137637184624952;-0.18564651226991
-7,75128E+12;0.528512630905013;0.138699437931981;3,55E-83;0;0;8,68E+05;0.138699446607558;-0.389813184297455
-7,74225E+12;0.20398826542278;0.139767722328098;6,89E-82;0;0;9,01E+04;0.139767731333589;-0.0642205340891915
