Dados	Densidade de Fluxo (Jy)	G1	G2	G3	G4	G5	Ajuste		
-850.066264	-0.20308	0.06949	0.00000	0.00000	0.00000	0.00000	0.06949	0.07429	0.27257
-849.163394	0.10461	0.07012	0.00000	0.00000	0.00000	0.00000	0.07012	0.00119	-0.03449
-848.260524	-0.08403	0.07075	0.00000	0.00000	0.00000	0.00000	0.07075	0.02396	0.15478
-847.357655	-0.30333	0.07138	0.00000	0.00000	0.00000	0.00000	0.07138	0.14041	0.37471
-846.454785	-0.10799	0.07202	0.00000	0.00000	0.00000	0.00000	0.07202	0.03240	0.18001
-845.551915	0.13035	0.07267	0.00000	0.00000	0.00000	0.00000	0.07267	0.00333	-0.05769
-844.649045	0.23333	0.07332	0.00000	0.00000	0.00000	0.00000	0.07332	0.02561	-0.16002
-843.746175	-0.03739	0.07397	0.00000	0.00000	0.00000	0.00000	0.07397	0.01240	0.11136
-842.843306	-0.16260	0.07463	0.00000	0.00000	0.00000	0.00000	0.07463	0.05628	0.23722
-841.940436	0.08592	0.07529	0.00000	0.00000	0.00000	0.00000	0.07529	0.00011	-0.01063
-841.037566	-0.34464	0.07596	0.00000	0.00000	0.00000	0.00000	0.07596	0.17690	0.42060
-840.134696	-0.66059	0.07663	0.00000	0.00000	0.00000	0.00000	0.07663	0.54349	0.73722
-839.231826	-0.04721	0.07731	0.00000	0.00000	0.00000	0.00000	0.07731	0.01551	0.12452
-838.328957	-0.51732	0.07799	0.00000	0.00000	0.00000	0.00000	0.07799	0.35439	0.59531
-837.426087	-0.06819	0.07867	0.00000	0.00000	0.00000	0.00000	0.07867	0.02157	0.14687
-836.523217	0.24318	0.07936	0.00000	0.00000	0.00000	0.00000	0.07936	0.02683	-0.16381
-835.620347	0.10596	0.08006	0.00000	0.00000	0.00000	0.00000	0.08006	0.00067	-0.02590
-834.717477	-0.17255	0.08076	0.00000	0.00000	0.00000	0.00000	0.08076	0.06416	0.25331
-833.814608	-0.59801	0.08147	0.00000	0.00000	0.00000	0.00000	0.08147	0.46169	0.67948
-832.911738	-0.25942	0.08218	0.00000	0.00000	0.00000	0.00000	0.08218	0.11669	0.34159
-832.008868	-0.75472	0.08289	0.00000	0.00000	0.00000	0.00000	0.08289	0.70160	0.83762
-831.105998	-0.14986	0.08361	0.00000	0.00000	0.00000	0.00000	0.08361	0.05451	0.23347
-830.203128	-0.67991	0.08434	0.00000	0.00000	0.00000	0.00000	0.08434	0.58407	0.76424
-829.300258	-0.43405	0.08507	0.00000	0.00000	0.00000	0.00000	0.08507	0.26949	0.51912
-828.397389	-0.30741	0.08580	0.00000	0.00000	0.00000	0.00000	0.08580	0.15462	0.39321
-827.494519	-0.54329	0.08654	0.00000	0.00000	0.00000	0.00000	0.08654	0.39670	0.62984
-826.591649	-0.04967	0.08729	0.00000	0.00000	0.00000	0.00000	0.08729	0.01876	0.13696
-825.688779	0.07581	0.08804	0.00000	0.00000	0.00000	0.00000	0.08804	0.00015	0.01223
-824.785909	0.06294	0.08880	0.00000	0.00000	0.00000	0.00000	0.08880	0.00067	0.02585
-823.883040	-0.23991	0.08956	0.00000	0.00000	0.00000	0.00000	0.08956	0.10855	0.32947
-822.980170	-0.10041	0.09032	0.00000	0.00000	0.00000	0.00000	0.09032	0.03638	0.19073
-822.077300	0.05320	0.09109	0.00000	0.00000	0.00000	0.00000	0.09109	0.00144	0.03789
-821.174430	0.38175	0.09187	0.00000	0.00000	0.00000	0.00000	0.09187	0.08403	-0.28988
-820.271560	0.84188	0.09265	0.00000	0.00000	0.00000	0.00000	0.09265	0.56135	-0.74923
-819.368691	0.26499	0.09344	0.00000	0.00000	0.00000	0.00000	0.09344	0.02943	-0.17155
-818.465821	0.48574	0.09423	0.00000	0.00000	0.00000	0.00000	0.09423	0.15328	-0.39152
-817.562951	0.32162	0.09502	0.00000	0.00000	0.00000	0.00000	0.09502	0.05134	-0.22659
